Season,market,Team_Name,wins,losses,ties
1929,Duquesne University,Dukes,18,10,0
1928,Duquesne University,Dukes,12,8,0
1927,Duquesne University,Dukes,15,7,0
1926,Duquesne University,Dukes,16,4,0
1925,Duquesne University,Dukes,15,4,0
1924,Duquesne University,Dukes,12,6,0
1923,Duquesne University,Dukes,8,6,0
1922,Duquesne University,Dukes,16,2,0
1921,Duquesne University,Dukes,10,6,0
1920,Duquesne University,Dukes,10,7,0
1919,Duquesne University,Dukes,6,10,0
1918,Duquesne University,Dukes,4,6,0
1917,Duquesne University,Dukes,4,4,0
1916,Duquesne University,Dukes,7,3,0
1915,Duquesne University,Dukes,7,2,0
1914,Duquesne University,Dukes,12,2,0
1913,Duquesne University,Dukes,7,2,0
2016,East Carolina University,Pirates,15,18,0
2015,East Carolina University,Pirates,12,20,0
2014,East Carolina University,Pirates,14,19,0
2013,East Carolina University,Pirates,17,17,0
2012,East Carolina University,Pirates,23,12,0
2011,East Carolina University,Pirates,15,16,0
2010,East Carolina University,Pirates,18,16,0
2009,East Carolina University,Pirates,10,21,0
2008,East Carolina University,Pirates,13,17,0
2007,East Carolina University,Pirates,11,19,0
2006,East Carolina University,Pirates,6,24,0
2005,East Carolina University,Pirates,8,20,0
2004,East Carolina University,Pirates,9,19,0
2003,East Carolina University,Pirates,13,14,0
2002,East Carolina University,Pirates,12,15,0
2001,East Carolina University,Pirates,12,18,0
2000,East Carolina University,Pirates,14,14,0
1999,East Carolina University,Pirates,10,18,0
1998,East Carolina University,Pirates,13,14,0
1997,East Carolina University,Pirates,10,17,0
1996,East Carolina University,Pirates,17,10,0
1995,East Carolina University,Pirates,17,11,0
1994,East Carolina University,Pirates,18,11,0
1993,East Carolina University,Pirates,15,12,0
1992,East Carolina University,Pirates,13,17,0
1991,East Carolina University,Pirates,10,18,0
1990,East Carolina University,Pirates,12,16,0
1989,East Carolina University,Pirates,13,18,0
1988,East Carolina University,Pirates,15,14,0
1987,East Carolina University,Pirates,8,20,0
1986,East Carolina University,Pirates,12,16,0
1985,East Carolina University,Pirates,12,16,0
1984,East Carolina University,Pirates,7,21,0
1983,East Carolina University,Pirates,4,24,0
1982,East Carolina University,Pirates,16,13,0
1981,East Carolina University,Pirates,10,17,0
1980,East Carolina University,Pirates,12,14,0
1979,East Carolina University,Pirates,15,12,0
1978,East Carolina University,Pirates,12,15,0
1977,East Carolina University,Pirates,9,17,0
1976,East Carolina University,Pirates,10,18,0
1975,East Carolina University,Pirates,11,15,0
1974,East Carolina University,Pirates,19,9,0
1973,East Carolina University,Pirates,13,12,0
1972,East Carolina University,Pirates,13,13,0
1971,East Carolina University,Pirates,14,15,0
1970,East Carolina University,Pirates,13,12,0
1969,East Carolina University,Pirates,16,10,0
1968,East Carolina University,Pirates,17,11,0
1967,East Carolina University,Pirates,9,16,0
1966,East Carolina University,Pirates,7,17,0
1965,East Carolina University,Pirates,11,15,0
1964,East Carolina University,Pirates,12,10,0
2016,East Tennessee State University,Buccaneers,27,8,0
2015,East Tennessee State University,Buccaneers,24,12,0
2014,East Tennessee State University,Buccaneers,16,14,0
2013,East Tennessee State University,Buccaneers,19,16,0
2012,East Tennessee State University,Buccaneers,10,22,0
2011,East Tennessee State University,Buccaneers,17,14,0
2010,East Tennessee State University,Buccaneers,24,12,0
2009,East Tennessee State University,Buccaneers,20,15,0
2008,East Tennessee State University,Buccaneers,23,11,0
2007,East Tennessee State University,Buccaneers,19,13,0
2006,East Tennessee State University,Buccaneers,24,10,0
2005,East Tennessee State University,Buccaneers,15,13,0
2004,East Tennessee State University,Buccaneers,10,19,0
2003,East Tennessee State University,Buccaneers,27,6,0
2002,East Tennessee State University,Buccaneers,20,11,0
2001,East Tennessee State University,Buccaneers,18,10,0
2000,East Tennessee State University,Buccaneers,18,10,0
1999,East Tennessee State University,Buccaneers,14,15,0
1998,East Tennessee State University,Buccaneers,17,11,0
1997,East Tennessee State University,Buccaneers,11,16,0
1996,East Tennessee State University,Buccaneers,7,20,0
1995,East Tennessee State University,Buccaneers,7,20,0
1994,East Tennessee State University,Buccaneers,14,14,0
1993,East Tennessee State University,Buccaneers,16,14,0
1992,East Tennessee State University,Buccaneers,19,10,0
1991,East Tennessee State University,Buccaneers,24,7,0
1990,East Tennessee State University,Buccaneers,28,5,0
1989,East Tennessee State University,Buccaneers,27,7,0
1988,East Tennessee State University,Buccaneers,20,11,0
1987,East Tennessee State University,Buccaneers,14,15,0
1986,East Tennessee State University,Buccaneers,7,21,0
1985,East Tennessee State University,Buccaneers,13,16,0
1984,East Tennessee State University,Buccaneers,9,18,0
1983,East Tennessee State University,Buccaneers,9,19,0
1982,East Tennessee State University,Buccaneers,22,9,0
1981,East Tennessee State University,Buccaneers,13,15,0
1980,East Tennessee State University,Buccaneers,13,14,0
1979,East Tennessee State University,Buccaneers,15,13,0
1978,East Tennessee State University,Buccaneers,16,11,0
1977,East Tennessee State University,Buccaneers,18,9,0
1976,East Tennessee State University,Buccaneers,12,14,0
1975,East Tennessee State University,Buccaneers,6,20,0
1974,East Tennessee State University,Buccaneers,9,14,0
1973,East Tennessee State University,Buccaneers,8,18,0
1972,East Tennessee State University,Buccaneers,9,17,0
1971,East Tennessee State University,Buccaneers,11,14,0
1970,East Tennessee State University,Buccaneers,12,12,0
1969,East Tennessee State University,Buccaneers,15,11,0
1968,East Tennessee State University,Buccaneers,15,11,0
1967,East Tennessee State University,Buccaneers,19,8,0
1966,East Tennessee State University,Buccaneers,17,9,0
1965,East Tennessee State University,Buccaneers,7,14,0
1964,East Tennessee State University,Buccaneers,6,17,0
1963,East Tennessee State University,Buccaneers,12,10,0
1962,East Tennessee State University,Buccaneers,14,8,0
1961,East Tennessee State University,Buccaneers,11,14,0
1960,East Tennessee State University,Buccaneers,9,15,0
1959,East Tennessee State University,Buccaneers,9,14,0
1958,East Tennessee State University,Buccaneers,13,10,0
2016,Eastern Illinois University,Panthers,14,15,0
2015,Eastern Illinois University,Panthers,13,17,0
2014,Eastern Illinois University,Panthers,18,15,0
2013,Eastern Illinois University,Panthers,11,19,0
2012,Eastern Illinois University,Panthers,11,21,0
2011,Eastern Illinois University,Panthers,12,17,0
2010,Eastern Illinois University,Panthers,9,20,0
2009,Eastern Illinois University,Panthers,19,12,0
2008,Eastern Illinois University,Panthers,12,18,0
2007,Eastern Illinois University,Panthers,7,22,0
2006,Eastern Illinois University,Panthers,10,20,0
2005,Eastern Illinois University,Panthers,6,21,0
2004,Eastern Illinois University,Panthers,12,16,0
2003,Eastern Illinois University,Panthers,6,21,0
2002,Eastern Illinois University,Panthers,14,15,0
2001,Eastern Illinois University,Panthers,15,16,0
2000,Eastern Illinois University,Panthers,21,10,0
1999,Eastern Illinois University,Panthers,17,12,0
1998,Eastern Illinois University,Panthers,13,16,0
1997,Eastern Illinois University,Panthers,16,11,0
1996,Eastern Illinois University,Panthers,12,15,0
1995,Eastern Illinois University,Panthers,13,15,0
1994,Eastern Illinois University,Panthers,16,13,0
1993,Eastern Illinois University,Panthers,12,15,0
1992,Eastern Illinois University,Panthers,10,17,0
1991,Eastern Illinois University,Panthers,17,14,0
1990,Eastern Illinois University,Panthers,17,12,0
1989,Eastern Illinois University,Panthers,10,18,0
1988,Eastern Illinois University,Panthers,16,16,0
1987,Eastern Illinois University,Panthers,17,11,0
1986,Eastern Illinois University,Panthers,9,19,0
1985,Eastern Illinois University,Panthers,19,13,0
1984,Eastern Illinois University,Panthers,20,10,0
1983,Eastern Illinois University,Panthers,15,13,0
1982,Eastern Illinois University,Panthers,13,18,0
1981,Eastern Illinois University,Panthers,14,13,0
1980,Eastern Illinois University,Panthers,16,11,0
2016,Eastern Kentucky University,Colonels,12,19,0
2015,Eastern Kentucky University,Colonels,15,16,0
2014,Eastern Kentucky University,Colonels,21,12,0
2013,Eastern Kentucky University,Colonels,24,10,0
2012,Eastern Kentucky University,Colonels,25,10,0
2011,Eastern Kentucky University,Colonels,16,16,0
2010,Eastern Kentucky University,Colonels,15,16,0
2009,Eastern Kentucky University,Colonels,20,13,0
2008,Eastern Kentucky University,Colonels,18,13,0
2007,Eastern Kentucky University,Colonels,14,16,0
2006,Eastern Kentucky University,Colonels,21,12,0
2005,Eastern Kentucky University,Colonels,14,16,0
2004,Eastern Kentucky University,Colonels,22,9,0
2003,Eastern Kentucky University,Colonels,14,15,0
2002,Eastern Kentucky University,Colonels,11,17,0
2001,Eastern Kentucky University,Colonels,7,20,0
2000,Eastern Kentucky University,Colonels,7,19,0
1999,Eastern Kentucky University,Colonels,6,21,0
1998,Eastern Kentucky University,Colonels,3,23,0
1997,Eastern Kentucky University,Colonels,10,17,0
1996,Eastern Kentucky University,Colonels,8,18,0
1995,Eastern Kentucky University,Colonels,13,14,0
1994,Eastern Kentucky University,Colonels,9,19,0
1993,Eastern Kentucky University,Colonels,13,14,0
1992,Eastern Kentucky University,Colonels,15,12,0
1991,Eastern Kentucky University,Colonels,19,14,0
1990,Eastern Kentucky University,Colonels,19,10,0
1989,Eastern Kentucky University,Colonels,13,17,0
1988,Eastern Kentucky University,Colonels,7,22,0
1987,Eastern Kentucky University,Colonels,18,11,0
1986,Eastern Kentucky University,Colonels,19,11,0
1985,Eastern Kentucky University,Colonels,10,18,0
1984,Eastern Kentucky University,Colonels,16,13,0
1983,Eastern Kentucky University,Colonels,11,16,0
1982,Eastern Kentucky University,Colonels,10,17,0
1981,Eastern Kentucky University,Colonels,5,21,0
1980,Eastern Kentucky University,Colonels,10,16,0
1979,Eastern Kentucky University,Colonels,15,12,0
1978,Eastern Kentucky University,Colonels,21,8,0
1977,Eastern Kentucky University,Colonels,15,11,0
1976,Eastern Kentucky University,Colonels,8,16,0
1975,Eastern Kentucky University,Colonels,10,15,0
1974,Eastern Kentucky University,Colonels,7,18,0
1973,Eastern Kentucky University,Colonels,8,15,0
1972,Eastern Kentucky University,Colonels,12,13,0
1971,Eastern Kentucky University,Colonels,15,11,0
1970,Eastern Kentucky University,Colonels,16,8,0
1969,Eastern Kentucky University,Colonels,12,10,0
1968,Eastern Kentucky University,Colonels,13,9,0
1967,Eastern Kentucky University,Colonels,10,14,0
1966,Eastern Kentucky University,Colonels,5,18,0
1965,Eastern Kentucky University,Colonels,16,9,0
1964,Eastern Kentucky University,Colonels,19,6,0
1963,Eastern Kentucky University,Colonels,15,9,0
1962,Eastern Kentucky University,Colonels,9,12,0
1961,Eastern Kentucky University,Colonels,10,6,0
1960,Eastern Kentucky University,Colonels,15,9,0
1959,Eastern Kentucky University,Colonels,14,8,0
1958,Eastern Kentucky University,Colonels,16,6,0
1957,Eastern Kentucky University,Colonels,8,11,0
1956,Eastern Kentucky University,Colonels,6,15,0
1955,Eastern Kentucky University,Colonels,9,16,0
1954,Eastern Kentucky University,Colonels,15,8,0
1953,Eastern Kentucky University,Colonels,7,16,0
1952,Eastern Kentucky University,Colonels,16,9,0
1951,Eastern Kentucky University,Colonels,13,11,0
1950,Eastern Kentucky University,Colonels,18,8,0
1949,Eastern Kentucky University,Colonels,16,6,0
1948,Eastern Kentucky University,Colonels,17,4,0
1947,Eastern Kentucky University,Colonels,17,7,0
1946,Eastern Kentucky University,Colonels,21,4,0
1945,Eastern Kentucky University,Colonels,21,3,0
1944,Eastern Kentucky University,Colonels,20,5,0
1943,Eastern Kentucky University,Colonels,0,0,0
1942,Eastern Kentucky University,Colonels,12,5,0
1941,Eastern Kentucky University,Colonels,11,5,0
1940,Eastern Kentucky University,Colonels,10,5,0
1939,Eastern Kentucky University,Colonels,16,2,0
2016,Eastern Michigan University,Eagles,16,17,0
2015,Eastern Michigan University,Eagles,18,15,0
2014,Eastern Michigan University,Eagles,21,14,0
2013,Eastern Michigan University,Eagles,22,15,0
2012,Eastern Michigan University,Eagles,16,18,0
2011,Eastern Michigan University,Eagles,14,18,0
2010,Eastern Michigan University,Eagles,9,22,0
2009,Eastern Michigan University,Eagles,17,15,0
2008,Eastern Michigan University,Eagles,8,24,0
2007,Eastern Michigan University,Eagles,14,17,0
2006,Eastern Michigan University,Eagles,13,19,0
2005,Eastern Michigan University,Eagles,7,21,0
2004,Eastern Michigan University,Eagles,12,18,0
2003,Eastern Michigan University,Eagles,13,15,0
2002,Eastern Michigan University,Eagles,14,14,0
2001,Eastern Michigan University,Eagles,6,24,0
2000,Eastern Michigan University,Eagles,3,25,0
1999,Eastern Michigan University,Eagles,15,13,0
1998,Eastern Michigan University,Eagles,5,20,0
1997,Eastern Michigan University,Eagles,20,10,0
1996,Eastern Michigan University,Eagles,22,10,0
1995,Eastern Michigan University,Eagles,25,6,0
1994,Eastern Michigan University,Eagles,20,10,0
1993,Eastern Michigan University,Eagles,15,12,0
1992,Eastern Michigan University,Eagles,13,17,0
1991,Eastern Michigan University,Eagles,9,22,0
1990,Eastern Michigan University,Eagles,26,7,0
1989,Eastern Michigan University,Eagles,19,13,0
1988,Eastern Michigan University,Eagles,17,12,0
1987,Eastern Michigan University,Eagles,22,8,0
1986,Eastern Michigan University,Eagles,14,15,0
1985,Eastern Michigan University,Eagles,9,18,0
1984,Eastern Michigan University,Eagles,15,13,0
1983,Eastern Michigan University,Eagles,12,17,0
1982,Eastern Michigan University,Eagles,12,16,0
1981,Eastern Michigan University,Eagles,15,12,0
1980,Eastern Michigan University,Eagles,13,14,0
1979,Eastern Michigan University,Eagles,11,16,0
1978,Eastern Michigan University,Eagles,9,18,0
1977,Eastern Michigan University,Eagles,11,16,0
1976,Eastern Michigan University,Eagles,9,18,0
1975,Eastern Michigan University,Eagles,7,20,0
1974,Eastern Michigan University,Eagles,12,14,0
1973,Eastern Michigan University,Eagles,8,18,0
2016,Eastern Washington University,Eagles,22,12,0
2015,Eastern Washington University,Eagles,18,16,0
2014,Eastern Washington University,Eagles,26,9,0
2013,Eastern Washington University,Eagles,15,16,0
2012,Eastern Washington University,Eagles,10,21,0
2011,Eastern Washington University,Eagles,15,17,0
2010,Eastern Washington University,Eagles,10,20,0
2009,Eastern Washington University,Eagles,9,21,0
2008,Eastern Washington University,Eagles,12,18,0
2007,Eastern Washington University,Eagles,11,19,0
2006,Eastern Washington University,Eagles,15,14,0
2005,Eastern Washington University,Eagles,15,15,0
2004,Eastern Washington University,Eagles,8,20,0
2003,Eastern Washington University,Eagles,17,13,0
2002,Eastern Washington University,Eagles,18,13,0
2001,Eastern Washington University,Eagles,17,13,0
2000,Eastern Washington University,Eagles,17,11,0
1999,Eastern Washington University,Eagles,15,12,0
1998,Eastern Washington University,Eagles,10,17,0
1997,Eastern Washington University,Eagles,16,11,0
1996,Eastern Washington University,Eagles,7,19,0
1995,Eastern Washington University,Eagles,3,23,0
1994,Eastern Washington University,Eagles,6,20,0
1993,Eastern Washington University,Eagles,5,21,0
1992,Eastern Washington University,Eagles,6,20,0
1991,Eastern Washington University,Eagles,6,21,0
1990,Eastern Washington University,Eagles,11,16,0
1989,Eastern Washington University,Eagles,18,11,0
1988,Eastern Washington University,Eagles,8,22,0
1987,Eastern Washington University,Eagles,6,21,0
1986,Eastern Washington University,Eagles,5,23,0
1985,Eastern Washington University,Eagles,20,8,0
1984,Eastern Washington University,Eagles,12,15,0
1983,Eastern Washington University,Eagles,4,22,0
1982,Eastern Washington University,Eagles,17,11,0
1981,Eastern Washington University,Eagles,19,8,0
1980,Eastern Washington University,Eagles,18,9,0
1979,Eastern Washington University,Eagles,18,12,0
1978,Eastern Washington University,Eagles,10,18,0
1977,Eastern Washington University,Eagles,20,8,0
2016,Elon University,Phoenix,18,14,0
2015,Elon University,Phoenix,16,16,0
2014,Elon University,Phoenix,15,18,0
2013,Elon University,Phoenix,18,14,0
2012,Elon University,Phoenix,21,12,0
2011,Elon University,Phoenix,15,16,0
2010,Elon University,Phoenix,14,17,0
2009,Elon University,Phoenix,9,23,0
2008,Elon University,Phoenix,11,20,0
2007,Elon University,Phoenix,14,19,0
2006,Elon University,Phoenix,7,23,0
2005,Elon University,Phoenix,15,14,0
2004,Elon University,Phoenix,8,23,0
2003,Elon University,Phoenix,12,18,0
2002,Elon University,Phoenix,12,15,0
2001,Elon University,Phoenix,13,16,0
2000,Elon University,Phoenix,9,20,0
1999,Elon University,Phoenix,13,15,0
1997,Elon University,Phoenix,13,14,0
1996,Elon University,Phoenix,16,14,0
1995,Elon University,Phoenix,14,14,0
1994,Elon University,Phoenix,3,24,0
1993,Elon University,Phoenix,5,21,0
2016,Fairfield University,Stags,16,15,0
2015,Fairfield University,Stags,19,14,0
2014,Fairfield University,Stags,7,24,0
2013,Fairfield University,Stags,7,25,0
2012,Fairfield University,Stags,19,16,0
2011,Fairfield University,Stags,22,15,0
2010,Fairfield University,Stags,25,8,0
2009,Fairfield University,Stags,23,11,0
2008,Fairfield University,Stags,17,15,0
2007,Fairfield University,Stags,14,16,0
2006,Fairfield University,Stags,13,19,0
2005,Fairfield University,Stags,9,19,0
2004,Fairfield University,Stags,15,15,0
2003,Fairfield University,Stags,19,11,0
2002,Fairfield University,Stags,19,12,0
2001,Fairfield University,Stags,12,17,0
2000,Fairfield University,Stags,12,16,0
1999,Fairfield University,Stags,14,15,0
1998,Fairfield University,Stags,12,15,0
1997,Fairfield University,Stags,12,15,0
1996,Fairfield University,Stags,11,19,0
1995,Fairfield University,Stags,20,10,0
1994,Fairfield University,Stags,13,15,0
1993,Fairfield University,Stags,8,19,0
1992,Fairfield University,Stags,14,13,0
1991,Fairfield University,Stags,8,20,0
1990,Fairfield University,Stags,8,20,0
1989,Fairfield University,Stags,10,19,0
1988,Fairfield University,Stags,7,21,0
1987,Fairfield University,Stags,8,20,0
1986,Fairfield University,Stags,15,16,0
1985,Fairfield University,Stags,24,7,0
1984,Fairfield University,Stags,11,17,0
1983,Fairfield University,Stags,10,18,0
1982,Fairfield University,Stags,13,15,0
1981,Fairfield University,Stags,11,18,0
1980,Fairfield University,Stags,13,13,0
1979,Fairfield University,Stags,11,16,0
1978,Fairfield University,Stags,17,9,0
1977,Fairfield University,Stags,22,5,0
1976,Fairfield University,Stags,16,11,0
1975,Fairfield University,Stags,12,14,0
1974,Fairfield University,Stags,13,14,0
1973,Fairfield University,Stags,17,9,0
1972,Fairfield University,Stags,18,9,0
1971,Fairfield University,Stags,12,13,0
1970,Fairfield University,Stags,9,15,0
1969,Fairfield University,Stags,13,13,0
1968,Fairfield University,Stags,10,16,0
1967,Fairfield University,Stags,16,10,0
1966,Fairfield University,Stags,12,9,0
1965,Fairfield University,Stags,19,5,0
1964,Fairfield University,Stags,14,7,0
2016,"Fairleigh Dickinson University, Metropolitan",Knights,11,19,0
2015,"Fairleigh Dickinson University, Metropolitan",Knights,18,15,0
2014,"Fairleigh Dickinson University, Metropolitan",Knights,8,21,0
2013,"Fairleigh Dickinson University, Metropolitan",Knights,10,21,0
2012,"Fairleigh Dickinson University, Metropolitan",Knights,7,24,0
2011,"Fairleigh Dickinson University, Metropolitan",Knights,3,26,0
2010,"Fairleigh Dickinson University, Metropolitan",Knights,5,24,0
2009,"Fairleigh Dickinson University, Metropolitan",Knights,11,21,0
2008,"Fairleigh Dickinson University, Metropolitan",Knights,7,23,0
2007,"Fairleigh Dickinson University, Metropolitan",Knights,8,20,0
2006,"Fairleigh Dickinson University, Metropolitan",Knights,14,16,0
2005,"Fairleigh Dickinson University, Metropolitan",Knights,20,12,0
2004,"Fairleigh Dickinson University, Metropolitan",Knights,20,13,0
2003,"Fairleigh Dickinson University, Metropolitan",Knights,17,12,0
2002,"Fairleigh Dickinson University, Metropolitan",Knights,15,14,0
2001,"Fairleigh Dickinson University, Metropolitan",Knights,4,25,0
2000,"Fairleigh Dickinson University, Metropolitan",Knights,13,15,0
1999,"Fairleigh Dickinson University, Metropolitan",Knights,17,11,0
1998,"Fairleigh Dickinson University, Metropolitan",Knights,12,16,0
1997,"Fairleigh Dickinson University, Metropolitan",Knights,23,7,0
1996,"Fairleigh Dickinson University, Metropolitan",Knights,18,10,0
1995,"Fairleigh Dickinson University, Metropolitan",Knights,7,20,0
1994,"Fairleigh Dickinson University, Metropolitan",Knights,16,12,0
1993,"Fairleigh Dickinson University, Metropolitan",Knights,14,13,0
1992,"Fairleigh Dickinson University, Metropolitan",Knights,11,17,0
1991,"Fairleigh Dickinson University, Metropolitan",Knights,14,14,0
1990,"Fairleigh Dickinson University, Metropolitan",Knights,22,9,0
1989,"Fairleigh Dickinson University, Metropolitan",Knights,16,13,0
1988,"Fairleigh Dickinson University, Metropolitan",Knights,17,12,0
1987,"Fairleigh Dickinson University, Metropolitan",Knights,23,7,0
1986,"Fairleigh Dickinson University, Metropolitan",Knights,19,10,0
1985,"Fairleigh Dickinson University, Metropolitan",Knights,22,8,0
1984,"Fairleigh Dickinson University, Metropolitan",Knights,21,10,0
1983,"Fairleigh Dickinson University, Metropolitan",Knights,17,12,0
1982,"Fairleigh Dickinson University, Metropolitan",Knights,17,12,0
1981,"Fairleigh Dickinson University, Metropolitan",Knights,16,11,0
1980,"Fairleigh Dickinson University, Metropolitan",Knights,12,14,0
1979,"Fairleigh Dickinson University, Metropolitan",Knights,13,14,0
1978,"Fairleigh Dickinson University, Metropolitan",Knights,8,18,0
1977,"Fairleigh Dickinson University, Metropolitan",Knights,6,18,0
1976,"Fairleigh Dickinson University, Metropolitan",Knights,13,13,0
1975,"Fairleigh Dickinson University, Metropolitan",Knights,9,13,0
1974,"Fairleigh Dickinson University, Metropolitan",Knights,11,13,0
1973,"Fairleigh Dickinson University, Metropolitan",Knights,11,14,0
1972,"Fairleigh Dickinson University, Metropolitan",Knights,13,13,0
1971,"Fairleigh Dickinson University, Metropolitan",Knights,15,9,0
1970,"Fairleigh Dickinson University, Metropolitan",Knights,16,7,0
1969,"Fairleigh Dickinson University, Metropolitan",Knights,13,10,0
1968,"Fairleigh Dickinson University, Metropolitan",Knights,9,13,0
1967,"Fairleigh Dickinson University, Metropolitan",Knights,10,12,0
2016,Florida A&M University,Rattlers,7,23,0
2015,Florida A&M University,Rattlers,8,21,0
2014,Florida A&M University,Rattlers,2,27,0
2013,Florida A&M University,Rattlers,14,18,0
2012,Florida A&M University,Rattlers,8,23,0
2011,Florida A&M University,Rattlers,10,23,0
2010,Florida A&M University,Rattlers,12,20,0
2009,Florida A&M University,Rattlers,9,22,0
2008,Florida A&M University,Rattlers,10,21,0
2007,Florida A&M University,Rattlers,15,17,0
2006,Florida A&M University,Rattlers,21,14,0
2005,Florida A&M University,Rattlers,14,17,0
2004,Florida A&M University,Rattlers,14,15,0
2003,Florida A&M University,Rattlers,15,17,0
2002,Florida A&M University,Rattlers,17,12,0
2001,Florida A&M University,Rattlers,9,19,0
2000,Florida A&M University,Rattlers,6,22,0
1999,Florida A&M University,Rattlers,9,22,0
1998,Florida A&M University,Rattlers,12,19,0
1997,Florida A&M University,Rattlers,11,17,0
1996,Florida A&M University,Rattlers,8,19,0
1995,Florida A&M University,Rattlers,8,19,0
1994,Florida A&M University,Rattlers,5,22,0
1993,Florida A&M University,Rattlers,4,23,0
1992,Florida A&M University,Rattlers,10,18,0
1991,Florida A&M University,Rattlers,16,14,0
1990,Florida A&M University,Rattlers,17,14,0
1989,Florida A&M University,Rattlers,18,11,0
1988,Florida A&M University,Rattlers,20,10,0
1987,Florida A&M University,Rattlers,22,8,0
1986,Florida A&M University,Rattlers,12,16,0
1985,Florida A&M University,Rattlers,12,16,0
1984,Florida A&M University,Rattlers,10,18,0
1983,Florida A&M University,Rattlers,8,18,0
1982,Florida A&M University,Rattlers,7,21,0
1981,Florida A&M University,Rattlers,10,17,0
1980,Florida A&M University,Rattlers,17,11,0
1979,Florida A&M University,Rattlers,7,22,0
1978,Florida A&M University,Rattlers,18,9,0
1977,Florida A&M University,Rattlers,23,6,0
1976,Florida A&M University,Rattlers,18,12,0
1975,Florida A&M University,Rattlers,17,10,0
1974,Florida A&M University,Rattlers,17,9,0
1973,Florida A&M University,Rattlers,22,6,0
1972,Florida A&M University,Rattlers,17,9,0
1971,Florida A&M University,Rattlers,18,10,0
1970,Florida A&M University,Rattlers,8,13,0
1969,Florida A&M University,Rattlers,12,12,0
1968,Florida A&M University,Rattlers,12,6,0
1967,Florida A&M University,Rattlers,18,8,0
1966,Florida A&M University,Rattlers,21,7,0
1965,Florida A&M University,Rattlers,17,9,0
1964,Florida A&M University,Rattlers,12,9,0
1963,Florida A&M University,Rattlers,14,12,0
1962,Florida A&M University,Rattlers,19,6,0
1961,Florida A&M University,Rattlers,26,1,0
1960,Florida A&M University,Rattlers,15,9,0
1959,Florida A&M University,Rattlers,22,4,0
1958,Florida A&M University,Rattlers,22,6,0
1957,Florida A&M University,Rattlers,21,6,0
1956,Florida A&M University,Rattlers,17,3,0
1955,Florida A&M University,Rattlers,16,10,0
1954,Florida A&M University,Rattlers,20,2,0
1953,Florida A&M University,Rattlers,19,7,0
1952,Florida A&M University,Rattlers,18,5,0
1951,Florida A&M University,Rattlers,26,2,0
1950,Florida A&M University,Rattlers,21,4,0
1949,Florida A&M University,Rattlers,0,0,0
2016,Florida Atlantic University,Owls,10,20,0
2015,Florida Atlantic University,Owls,8,25,0
2014,Florida Atlantic University,Owls,9,20,0
2013,Florida Atlantic University,Owls,10,22,0
2012,Florida Atlantic University,Owls,14,18,0
2011,Florida Atlantic University,Owls,11,19,0
2010,Florida Atlantic University,Owls,21,11,0
2009,Florida Atlantic University,Owls,14,16,0
2008,Florida Atlantic University,Owls,6,26,0
2007,Florida Atlantic University,Owls,15,18,0
2006,Florida Atlantic University,Owls,16,15,0
2005,Florida Atlantic University,Owls,15,13,0
2004,Florida Atlantic University,Owls,10,17,0
2003,Florida Atlantic University,Owls,9,19,0
2002,Florida Atlantic University,Owls,7,21,0
2001,Florida Atlantic University,Owls,19,12,0
2000,Florida Atlantic University,Owls,7,24,0
1999,Florida Atlantic University,Owls,2,28,0
1998,Florida Atlantic University,Owls,6,20,0
1997,Florida Atlantic University,Owls,5,22,0
1996,Florida Atlantic University,Owls,16,11,0
1995,Florida Atlantic University,Owls,9,18,0
1994,Florida Atlantic University,Owls,9,18,0
1993,Florida Atlantic University,Owls,3,24,0
1992,Florida Atlantic University,Owls,3,25,0
1991,Florida Atlantic University,Owls,14,14,0
1990,Florida Atlantic University,Owls,12,16,0
1989,Florida Atlantic University,Owls,21,7,0
1988,Florida Atlantic University,Owls,9,19,0
2016,Florida Gulf Coast University,Eagles,26,8,0
2015,Florida Gulf Coast University,Eagles,21,14,0
2014,Florida Gulf Coast University,Eagles,22,11,0
2013,Florida Gulf Coast University,Eagles,22,13,0
2012,Florida Gulf Coast University,Eagles,26,11,0
2011,Florida Gulf Coast University,Eagles,15,17,0
2010,Florida Gulf Coast University,Eagles,10,20,0
2009,Florida Gulf Coast University,Eagles,8,21,0
2008,Florida Gulf Coast University,Eagles,11,20,0
2007,Florida Gulf Coast University,Eagles,10,21,0
2006,Florida Gulf Coast University,Eagles,27,6,0
2005,Florida Gulf Coast University,Eagles,18,12,0
2004,Florida Gulf Coast University,Eagles,24,7,0
2003,Florida Gulf Coast University,Eagles,22,5,0
2002,Florida Gulf Coast University,Eagles,23,9,0
2001,Florida Gulf Coast University,Eagles,0,0,0
2016,Florida International University,Golden Panthers,7,24,0
2015,Florida International University,Golden Panthers,13,19,0
2014,Florida International University,Golden Panthers,16,17,0
2013,Florida International University,Golden Panthers,15,16,0
2012,Florida International University,Golden Panthers,18,14,0
2011,Florida International University,Golden Panthers,8,21,0
2010,Florida International University,Golden Panthers,11,19,0
2009,Florida International University,Golden Panthers,7,25,0
2008,Florida International University,Golden Panthers,13,20,0
2007,Florida International University,Golden Panthers,9,20,0
2006,Florida International University,Golden Panthers,12,17,0
2005,Florida International University,Golden Panthers,1,20,0
2004,Florida International University,Golden Panthers,0,17,0
2003,Florida International University,Golden Panthers,0,22,0
2002,Florida International University,Golden Panthers,1,21,0
